Age,Gender,AnnualIncome,SpendingScore,PurchaseHistory,MembershipDuration,FeedbackScore,ChurnIndicator,Age_Standardized,AnnualIncome_Standardized,SpendingScore_Standardized,PurchaseHistory_Standardized,MembershipDuration_Standardized,FeedbackScore_Standardized,Age_Normalized,AnnualIncome_Normalized,SpendingScore_Normalized,PurchaseHistory_Normalized,MembershipDuration_Normalized,FeedbackScore_Normalized
57,Male,103219,8,8,9,9,0,0.8918307236154589,1.1218254594274468,-1.4575569168536364,-0.32735750985778156,1.5120671156391603,1.6214158955905003,0.7647058823529412,0.8135574342010001,0.07142857142857142,0.38888888888888884,1.0,1.0
40,Male,78923,34,16,6,9,0,-0.2641831766104503,0.1703355670218128,-0.5622939865868151,1.1725623520335424,0.36307994570058877,1.6214158955905003,0.43137254901960786,0.542943384457736,0.336734693877551,0.8333333333333333,0.625,1.0
31,Female,97537,70,12,6,4,0,-0.8761905355535787,0.8993046507079534,0.677300839936476,0.42260242108788043,0.36307994570058877,-0.3661005245988848,0.2549019607843137,0.7502701016918947,0.7040816326530611,0.611111111111111,0.625,0.375
57,Female,74669,68,16,4,5,0,0.8918307236154589,0.003738678550724259,0.6084344606851821,1.1725623520335424,-0.4029115009251256,0.03140275943899218,0.7647058823529412,0.4955614216816476,0.6836734693877551,0.8333333333333333,0.375,0.5
45,Male,34216,55,13,3,2,0,0.07582091169128771,-1.5804982582901184,0.16080299555177144,0.610092403824296,-0.7859072242379828,-1.1611070926746387,0.5294117647058824,0.044987246744856935,0.5510204081632653,0.6666666666666666,0.25,0.125
64,Female,109569,85,17,7,1,0,1.367836447237892,1.370506757450816,1.1937986843211807,1.360052334769958,0.7460756690134459,-1.558610376712516,0.9019607843137255,0.8842850937280717,0.8571428571428571,0.8888888888888888,0.75,0.0
43,Male,64387,44,1,8,2,0,-0.06018072362940749,-0.398929212201446,-0.2179620903303453,-1.63978738901269,1.1290713923263032,-1.1611070926746387,0.4901960784313726,0.3810383043182856,0.43877551020408156,0.0,0.875,0.125
41,Male,91835,68,7,8,9,1,-0.1961823589501027,0.6760005938057092,0.6084344606851821,-0.514847492594197,1.1290713923263032,1.6214158955905003,0.4509803921568628,0.6867600049008142,0.6836734693877551,0.33333333333333326,0.875,1.0
38,Female,86380,2,3,3,1,1,-0.4001848119311455,0.462369651960437,-1.6641560546075183,-1.264807423539859,-0.7859072242379828,-1.558610376712516,0.3921568627450981,0.6260010469921253,0.01020408163265306,0.1111111111111111,0.25,0.0
65,Male,114162,12,5,1,1,1,1.4358372648982398,1.55037970261953,-1.3198241583510484,-0.889827458067028,-1.551898670863697,-1.558610376712516,0.9215686274509803,0.9354429110836369,0.11224489795918367,0.22222222222222224,0.0,0.0
69,Female,102611,11,5,7,3,0,1.7078405355396302,1.0980147146718235,-1.3542573479766955,-0.889827458067028,0.7460756690134459,-0.7636038086367618,1.0,0.8067854000289594,0.1020408163265306,0.22222222222222224,0.75,0.25
54,Male,75585,34,10,2,8,0,0.6878282706344161,0.039611445320709475,-0.5622939865868151,0.04762245561504946,-1.16890294755084,1.223912611552623,0.7058823529411765,0.5057640257961038,0.336734693877551,0.5,0.125,0.875
55,Male,58942,63,9,3,3,0,0.7558290882947637,-0.6121685299553429,0.4362685125569472,-0.13986752712136605,-0.7859072242379828,-0.7636038086367618,0.7254901960784313,0.3203907285505842,0.6326530612244897,0.4444444444444444,0.25,0.25
